cntry;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance
SWE;Märta Stenevi;Minister for Gender EqualityMinister for Housing Minister with responsibility for anti-discrimination and anti-segregation;Green;Miljöpartiet;MP;Green Party;Green politics;Centre-left;Greens/EFA
SWE;Tomas Eneroth;Minister for Infrastructure;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anders Ygeman;Minister for EnergyMinister for Digital Development;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Magdalena Andersson;Prime Minister;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Morgan Johansson;Deputy Prime Minister not a separate minister post;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Hans Dahlgren;Minister for EU Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Morgan Johansson;Minister for JusticeMinister of the Interior;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anders Ygeman;Minister for IntegrationMinister for MigrationMinister for Sports;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Ann Linde;Minister for Foreign Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anna Hallberg;Minister for Foreign Trade Minister for Nordic Cooperation;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Matilda Ernkrans;Minister for International Development Cooperation;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Peter Hultqvist;Minister for Defence;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Lena Hallengren;Minister for Health and Social Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Ardalan Shekarabi;Minister for Social Security;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Mikael Damberg;Minister for Finance;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Max Elger;Minister for Financial MarketsMinister for Consumer AffairsDeputy Minister for Finance;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Ida Karkiainen;Minister for Public Administration;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anna Ekström;Minister for Education;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
